Place,Groundhog,Species,State Represented,Accuracy (%)
1,Staten Island Chuck,Groundhog,NY,85%
2,Lander Lil,Prairie Dog Statue,WY,80%
3,General Beauregard Lee,Groundhog,GA,75%
4,Concord Charlie,Never Seen (presumed groundhog),WV,70%
5,Gertie the Groundhog,Groundhog,IL,65%
5,Jimmy the Groundhog,Groundhog,WI,65%
7,Woodstock Willie,Groundhog,IL,60%
7,Buckeye Chuck,Groundhog,OH,60%
7,French Creek Freddie,Groundhog,WV,60%
10,Octoraro Orphie,Groundhog,PA,57.89%
11,Malverne Mel,Groundhog,NY,55%
11,Dunkirk Dave,Groundhog,NY,55%
13,Poor Richard,Taxidermied Groundhog,PA,50%
14,Uni the Groundhog,Taxidermied Groundhog,PA,47.37%
15,Holtsville Hal,Groundhog,NY,45%
16,Schnogadahl Sammi,Taxidermied Groundhog,PA,38.89%
17,Punxsutawney Phil,Groundhog,PA,35%
17,Woody the Woodchuck,Groundhog,MI,35%
19,Mojave Max,Tortoise,NV,20%